,property,listing_title,is_sponsored,listing_id,listing_url,number_reviews,listing_rank,all_rank,common_icons,is_special_offer,from_rate
95,property,      Ambhara Hotel Jakarta,False,551022,https://www.tripadvisor.com/Hotel_Review-g294229-d551022-Reviews-Ambhara_Hotel_Jakarta-Jakarta_Java.html,276,96,"2,075",Free Wifi Free parking ,False,0
96,property,      The Sultan Hotel & Residence Jakarta,False,307124,https://www.tripadvisor.com/Hotel_Review-g294229-d307124-Reviews-The_Sultan_Hotel_Residence_Jakarta-Jakarta_Java.html,990,97,"2,075",Free Wifi Free parking ,False,0
97,property,      Mandarin Oriental Jakarta,False,301415,https://www.tripadvisor.com/Hotel_Review-g294229-d301415-Reviews-Mandarin_Oriental_Jakarta-Jakarta_Java.html,2728,98,"2,075",Free Wifi Pool ,False,0
98,property,      Best Western Premier The Hive,False,6887893,https://www.tripadvisor.com/Hotel_Review-g294229-d6887893-Reviews-Best_Western_Premier_The_Hive-Jakarta_Java.html,404,99,"2,075",Free Wifi Free parking ,False,0
99,property,      Sawana Suites,False,10006002,https://www.tripadvisor.com/Hotel_Review-g294229-d10006002-Reviews-Sawana_Suites-Jakarta_Java.html,120,100,"2,075",Free Wifi Free parking ,False,0
100,property,      The Gunawarman,False,10767891,https://www.tripadvisor.com/Hotel_Review-g294229-d10767891-Reviews-The_Gunawarman-Jakarta_Java.html,156,101,"2,075",Free Wifi Free parking ,False,0
101,property,      Merlynn Park Hotel,False,1799977,https://www.tripadvisor.com/Hotel_Review-g294229-d1799977-Reviews-Merlynn_Park_Hotel-Jakarta_Java.html,393,102,"2,075",Free Wifi Pool ,False,0
102,property,      Mercure Jakarta Simatupang,False,3484872,https://www.tripadvisor.com/Hotel_Review-g294229-d3484872-Reviews-Mercure_Jakarta_Simatupang-Jakarta_Java.html,657,103,"2,075",Free Wifi Free parking ,False,0
103,property,      Hotel Neo Mangga Dua Square,False,5039765,https://www.tripadvisor.com/Hotel_Review-g294229-d5039765-Reviews-Hotel_Neo_Mangga_Dua_Square-Jakarta_Java.html,507,104,"2,075",Free Wifi Free parking ,False,0
104,property,      ASTON Bellevue Radio Dalam,False,7808040,https://www.tripadvisor.com/Hotel_Review-g294229-d7808040-Reviews-ASTON_Bellevue_Radio_Dalam-Jakarta_Java.html,126,105,"2,075",Free Wifi Free parking ,False,0
105,property,      Bold Hotel Jakarta,False,10519939,https://www.tripadvisor.com/Hotel_Review-g294229-d10519939-Reviews-Bold_Hotel_Jakarta-Jakarta_Java.html,45,106,"2,075",Free Wifi Free parking ,False,0
106,property,      Fraser Place Setiabudi,False,9589459,https://www.tripadvisor.com/Hotel_Review-g294229-d9589459-Reviews-Fraser_Place_Setiabudi-Jakarta_Java.html,149,107,"2,075",Free Wifi Free parking ,False,0
107,property,      D'primahotel WTC  Mangga Dua,False,4341140,https://www.tripadvisor.com/Hotel_Review-g294229-d4341140-Reviews-D_primahotel_WTC_Mangga_Dua-Jakarta_Java.html,51,108,"2,075",Free Wifi ,False,0
108,property,      Veranda Serviced Residence Puri,False,14985497,https://www.tripadvisor.com/Hotel_Review-g294229-d14985497-Reviews-Veranda_Serviced_Residence_Puri-Jakarta_Java.html,9,109,"2,075",Restaurant ,False,0
109,property,      White Tree Residence,False,12358007,https://www.tripadvisor.com/Hotel_Review-g294229-d12358007-Reviews-White_Tree_Residence-Jakarta_Java.html,11,110,"2,075",Free Wifi Free parking ,False,0
110,property,      Casa Living Senayan,False,17508683,https://www.tripadvisor.com/Hotel_Review-g294229-d17508683-Reviews-Casa_Living_Senayan-Jakarta_Java.html,4,111,"2,075",,False,0
111,property,      Holiday Inn Express Jakarta Pluit Citygate,False,4766280,https://www.tripadvisor.com/Hotel_Review-g294229-d4766280-Reviews-Holiday_Inn_Express_Jakarta_Pluit_Citygate-Jakarta_Java.html,427,112,"2,075",Free Wifi Restaurant ,False,0
112,property,      Goodrich Suites by Artotel,False,13984936,https://www.tripadvisor.com/Hotel_Review-g294229-d13984936-Reviews-Goodrich_Suites_by_Artotel-Jakarta_Java.html,46,113,"2,075",Free Wifi Free parking ,False,0
113,property,      Hotel Kristal Jakarta,False,557846,https://www.tripadvisor.com/Hotel_Review-g294229-d557846-Reviews-Hotel_Kristal_Jakarta-Jakarta_Java.html,394,114,"2,075",Free Wifi Free parking ,False,0
114,property,      favehotel PGC Cililitan,False,5039646,https://www.tripadvisor.com/Hotel_Review-g294229-d5039646-Reviews-Favehotel_PGC_Cililitan-Jakarta_Java.html,349,115,"2,075",Free Wifi Free parking ,False,0
115,property,      Belvena Hotel,False,3186545,https://www.tripadvisor.com/Hotel_Review-g294229-d3186545-Reviews-Belvena_Hotel-Jakarta_Java.html,7,116,"2,075",Free Wifi Restaurant ,False,0
116,property,      Smart Hotel Thamrin Jakarta,False,1952999,https://www.tripadvisor.com/Hotel_Review-g294229-d1952999-Reviews-Smart_Hotel_Thamrin_Jakarta-Jakarta_Java.html,130,117,"2,075",Free Wifi Restaurant ,False,0
117,property,      Rivoli Hotel,False,12966204,https://www.tripadvisor.com/Hotel_Review-g294229-d12966204-Reviews-Rivoli_Hotel-Jakarta_Java.html,31,118,"2,075",Restaurant ,False,0
118,property,      Business Hotel Tomang,False,5518267,https://www.tripadvisor.com/Hotel_Review-g294229-d5518267-Reviews-Business_Hotel_Tomang-Jakarta_Java.html,41,119,"2,075",Free Wifi Restaurant ,False,0
119,property,      Hotel Horison Ciledug Jakarta,False,13387614,https://www.tripadvisor.com/Hotel_Review-g294229-d13387614-Reviews-Hotel_Horison_Ciledug_Jakarta-Jakarta_Java.html,608,120,"2,075",Free Wifi Free parking ,False,0
120,property,      Stanley Wahid Hasyim,False,19274462,https://www.tripadvisor.com/Hotel_Review-g294229-d19274462-Reviews-Stanley_Wahid_Hasyim-Jakarta_Java.html,102,121,"2,075",Free Wifi Free parking ,False,0
